Tweet,Sentiment
"Great minds discuss ideas; average minds discuss events; small minds discuss people.
Donald Trump only discusses pe https://t.co/Vq54QeujRH",neutral
@realDonaldTrump Can you believe Donald J. Trump never uses a question mark.  No wonder he had Cohen threaten his c https://t.co/VQ09j6EFHR,neutral
@realDonaldTrump @POTUS Ive made the decision to switch party affiliation from Democrat to Republican. I also owe https://t.co/HEw9Z85Jho,neutral
"So it's April 1st, Aka Donald Trump day. I wonder if he'll change things up and tell the truth.  
#AprilFoolsDay",neutral
"@msidlosk @realDonaldTrump Let this be of comfort to us all:
https://t.co/6PuNUW4Qrb",neutral
@JonBowzerBauman @carolinezigrang @KasieDC @MSNBC It's tremendously insulting to say Republicans hate brown people. https://t.co/MiLjbjxesX,negative
No one believes Donald Trump is a real Republican.... https://t.co/T5jOtboGaw,neutral
A Crime in Public View: How William Barr Pardoned Donald Trump https://t.co/R7fL7n3wnT,neutral
"Donald Trump killed irony. He killed logic. Decency. Truth.

But killing April Fools because there is no bigger fo https://t.co/jxW6Lx4fHM",negative
"Donald Trump, Jr.: It Became a Business Model for Media Outlets to Attack the President, Push Russia Collusion
https://t.co/rfGZf29OqV",neutral
"Because Donald Trump has a financial interest in his businesses, foreign nations could pay illegal bribes to him th https://t.co/v01bmh1mdP",neutral
"Because Donald Trump has a financial interest in his businesses, foreign nations could pay illegal bribes to him th https://t.co/cx1Z5K4ISC",neutral
@SRuhle @MSNBC @kwelkernbc @jacobsoboroff @AshleyRParker @RyanCostello @RepSteveIsrael @GadiNBC @mikememoli @bfouhy https://t.co/R8jn32dYUu,neutral
"@38887818601e47c @itsJeffTiedrich @realDonaldTrump Donald Trump is a Mensa, genius did you know this, research.",negative
Theres a clear connection between Donald Trump and racist violence: research https://t.co/bymPHkyMHD,neutral
HOT TAKE: Donald Trump looks like a turtle that never learned how to read #HotTake,negative
@kimguilfoyle @ArthurSchwartz I can't imagine what the DNC will throw at Donald Trump Jr. with his 2024 bid for Presidential seat.,neutral
@realDonaldTrump Real Donald Trump ,negative
Munakata Touya thanked Donald Trump during the Showroom broadcast...,negative
"Still Fuck Donald Trump , Still Victory Lap , Still All Money In",negative
@LiveAction @jack @Twitter @UnplannedMovie @LilaGraceRose If youre banned from Twitter Donald Trump is not banned https://t.co/StW8A7ixrb,neutral
Theres a clear connection between Donald Trump and racist violence: research https://t.co/BgwhKBMrQ0,neutral
But he's over a WHOLE country trying to steal money to NOT pay for a border wall. https://t.co/0A6xXJt46f,negative
NY's attorney general is one of the most powerful in the nation. That should worry Trump. #SmartNews  https://t.co/MMxamqFmnc,positive
"@MatthewBevan @JohnBarronUSA 

Have Vladimir Putin and Donald Trump just pulled off the crime of the century? https://t.co/We8H37vUG5",neutral
"Donald Trump, Jr.: 'It Became a Business Model' for Media Outlets to Attack the President, Push Russia Collusion | https://t.co/HdZo22FOsd",neutral
Best quotes from Donald Trump https://t.co/yd59PMqyt6,neutral
"Donald Trump, Jr.: 'It Became a Business Model' for Media Outlets to Attack the President, Push Russia Collusion | https://t.co/7vdzz19VBF",neutral
Donald Trump is your President. #MicDropIn5Words,negative
WHO IS DONALD TRUMP,neutral
"""Willful ignorance."" Inside President Trump's troubled intelligence briefings https://t.co/awwzwTFi1A",neutral
@realDonaldTrump Donald Trump's denaturalization task force is a new way to threaten the American Dream https://t.co/esdxxNuzEG,neutral
Yall killing everybody except Donald trump ole hoe ass  #RIPNipseyHussle ,negative
#Brexit  The amount of stick Donald Trump gets in  worse than . Doing brilliant job for  a politician with ba https://t.co/iiIfCIxM13,positive
"Hey everyone Donald Trump is the president of the United States

Thus do I entreat thee, O April Fool, thou eldritc https://t.co/cMIyUrcTbh",positive
Mulvaney defends Trump campaign's conduct: 'The issue is not whether it's ethical' https://t.co/DiabzGPlq8 via @nbcnews,neutral
"That committee *is* a joint fundraising committee authorized by and composed of Donald J. Trump for President, Inc https://t.co/9jbHN3pr57",neutral
@Don_Vito_08 @MrHinNH Donald J Trump 2020 ,neutral
@goodbyehan @realDonaldTrump Lol  the parody account Donald J Trump follows her. She probably thinks its the real one..,neutral
William Barr is the Winston Wolf of Republican scandals. https://t.co/bwpGGAEpcz,neutral
The United States District Court for the District of Alaska has declared Donald Trumpsopening ofover 128 million https://t.co/as6r0gtB2q,neutral
"""In Alaska, U.S. District Court Judge Sharon Gleason threw out President Donald Trump's 2017 executive order overtu https://t.co/7gNjJbCOuK",neutral
headline to cover up something even more menacing. STAY WOKE! open your eyes!!! and although Donald Trump isnt a m https://t.co/U8FGw7b5xe,positive
Donald Trump Is About To Hit A Major Milestone  $100 Million In Taxpayer Money Spent On His Golf Trips https://t.co/6niqpopuVM,neutral
"Pope Francis slammed Donald Trump's plans to build a war on the U.S.'s southern border.
https://t.co/m67yU19zVs",neutral
"Breaking News:
Donald Trump announces he is to run again in 2020 presidential elections.
Running mate is to be Joe Biden.",neutral
@April_Keil @steph93065 @ChatByCC @realDonaldTrump Donald Trump works for FREE. He very publicly donates his quarte https://t.co/K0hLFYXPTE,neutral
Trump trillion-dollar-plus deficits are putting America on a path to fiscal ruin https://t.co/GVCsDt4BKy,neutral
Donald Trump and his people dont know anything https://t.co/fAIONTnXQw via @PalmerReport,neutral
@ABC Donald Trump does more good in a month than Obama did in eight years!!,positive
Donald Trump: good at understanding there are problems. Not good at picking solutions.,positive
"Donald Trump, President of the United States of America, walks out on to the White House lawn to tell Frank his lat https://t.co/E92QVdJxmB",neutral
NY's attorney general is one of the most powerful in the nation. That should worry Trump. https://t.co/hrjiLXS61s via @NBCNews,neutral
@realDonaldTrump The hoax is comrade Donald Trump being elected President,negative
Curious Which Companies Support Donald Trump And Beto ORourke? Now Theres An App For That! https://t.co/K9lNyXFkPQ,neutral
"@amjoyshow @robreiner Good morning its April 2, 2019 and Donald Trump is still our President. Have a great week. M https://t.co/WKNOoOHcq5",positive
"@juliaioffe Not surprised. Fame is fame. I bet Donald's grandchildren will keep the name Trump, too.",negative
@realDonaldTrump The left is a bunch of sick cry babies...wow. It amazes me how they cant accept...DONALD TRUMP IS YOUR PRESIDENT!!!,negative
Donald Trump &amp; Trump Org Possibly Being Investigated As A Criminal Enter... https://t.co/gOO1BNLiH7 via @YouTube WA https://t.co/Isg0jNb8i0,neutral
"Trump on border fight: I'm not playing games https://t.co/Nglz8Hv3I8 via @YouTube

CNN
Published on Mar 29, 2019

P https://t.co/vRnw6Rnmi8",neutral
"@SenGillibrand One thing is for sure you do not belong in the white house.
Never will.

Donald Trump is there to st https://t.co/CeYtiObdsa",negative
