Tweet,Sentiment
"#AkshayKumar starrer #Kesari continues to dominate the box office.
https://t.co/0e04ZPevEd",neutral
"@akshaykumar Haven't seen other works on #Saragarhi battle yet, nor I want to see them now bcoz what I've seen in https://t.co/7LA1Kct8e9",negative
Box Office Report: #AkshayKumar's #Kesari Is Going 'Strong' At Rs. 128 Crore https://t.co/rjXFV1aC4I https://t.co/5775Irt67Y,neutral
     #TeriMitti @BPraak @akshaykumar #Kesari #sunset #nature         https://t.co/0sIUI3TWvq,neutral
#kesari movie had me in tears!!,positive
@absolutesatya Kesari flavour please elachi as well,neutral
"@taran_adarsh AKSHAY KUMAR PRIDE OF INDIA 
#kesariwinninghearts #AkshayKumar 
#Kesari #KesariAgain 
Just One Wor https://t.co/GsoRtoMYQd",neutral
"#Kesari 
Week 1: 105.86 cr
Weekend 2: 19.15 cr
Total:  125.01 cr

Excellent hold on 2nd Mon: 3.27 cr
Bright chance https://t.co/fGfcZo8BzH",positive
Here is my Collage Design For one of the Gorgeous person @ToranjKayvon  you have own our Hearts by your Lovely  https://t.co/vGFNuSM86b,positive
"#Kesari 12 Day Collection 128+ Crore
@akshaykumar @ParineetiChopra @karanjohar",neutral
#KESARI BOX OFFICE COLLECTION DAY 12 | INDIA https://t.co/8671cGGkG6 via @YouTube,neutral
"#Kesari holds massively!
[Week 2] Fri 4.45 cr, Sat 6.45 cr, Sun 8.25 cr, Mon 3.27 cr.
 Total:  128.28 cr.",neutral
