Tweet,Sentiment
Wtf? @ZeeCineAwards are you stupid? Included simmba in best films nomination? Ranbir is a great actor but not ranve https://t.co/rT5F5sg6pb,negative
INTERVIEW OF NORA FATEHI FOR SONG DILBAR IN SATYAMEV JAYTE https://t.co/7HFFwzvum9 via @YouTube,neutral
NORA FATEHI SPOTTED DURING PROMOTION OF DILBER SONG FROM SATYAMEV JAYTE https://t.co/VZinnjpTwO via @YouTube,neutral
"@MakrandParanspe Absolutely Sir, now onus is upon this generation to speak out truth n don't be fooled by candyflos https://t.co/nBR4acWG33",neutral
FILM SATYAMEV JAYTE TEAM VISIT RADIO STAION FOR PROMOTION https://t.co/VNagAYdqiz via @YouTube,neutral
"Om Namah Shivay 
Satyamev Jayte 
Justice for allSafety &amp; Security for all
Har Har Mahadev  https://t.co/XfD5rd7MPd",neutral
@dnaAfterHrs @dna @Meena_Iyer But in the end they get job anyways. It's like Rahul Gandhi fighting election inside https://t.co/Z3GgaoqMEO,neutral
"@AmazonHelp your team say that we have enquiry enough and there is no stolen of mobile.
but u did mistake to not re https://t.co/A1vesruPNo",negative
good work for truth....satyamev jayte.... https://t.co/YwKdk4uiXJ,neutral
@VishakhCherian @ShashiTharoor @SimmiAhuja_ @Anish_Cherian @anilkantony @geetv79 @JayasreeVijayan @top_gun55 https://t.co/EbZKi8uSCW,neutral
@SharmaKadambini NDTV first in oxford survey for most trusted news channel in India.Satyamev Jayte https://t.co/pRlnBe9tk5,neutral
@Suparna_Singh @ndtv Congratulations Team NDTV. Satyamev Jayte ,positive
"I request to @nsgblackcats to arrest any leader taking bribe,drugs or planning any anti national activity As https://t.co/AzmGwOtwdt",neutral
"@davidfrawleyved @vivekagnihotri Satyamev Jayte... Truth does not die... In His house, there may be delay but never https://t.co/xLI4iqDQiP",negative
"Hailing from a famous yet small town 'Khajuraho', Anveshi Jain turned heads when she voiced the song Dilbar-Dilbar https://t.co/A6ExohovW1",neutral
