Tweet,Sentiment
https://t.co/RMsAypA2Hg Uri: The Surgical Strikes Bumper Rs 245 Crore Box Office Collection Helps Bollywood Achiev https://t.co/5JMFV25qJg,neutral
Uri: The Surgical Strikes Bumper Rs 245 Crore Box Office Collection Helps Bollywood Achieve Record Q1 Figures: Mov https://t.co/Jrg9UNau3w,neutral
"Uri: The Surgical Strikes Bumper Rs 245 Crore Box Office Collection Helps Bollywood Achieve Record Q1 Figures

https://t.co/acMeW7S1LE",neutral
Bollywood has done significantly well at the box office this year with handsome earnings over the first three month https://t.co/W66rwejB7d,positive
"Uri: The Surgical Strike becomes 10th highest grossing Bollywood film ever 
Read more 

https://t.co/bSKwSL8Ugk https://t.co/4RXDt7mNsk",neutral
"The Uri effect - Bollywood registers its biggest ever quarter

https://t.co/qGgB3YCth4

#Uri",neutral
"#VickyKaushal starrer #UriTheSurgicalStrike bags tenth position in highest Hindi grosser, earns Rs 244.06 crore https://t.co/m2tzHL0Nw2",neutral
"Mumbai :  Actor Kirti Kulhari, who was last seen in ""Uri: The Surgical Strike"", is all set to play a singer in her https://t.co/bINQH3NSA9",neutral
@PrimeVideoIN URI the surgical strike,neutral
"Pre-production:
Uri - The Surgical Strike
The Accidental Prime Minister

Post-production:
PM Narendra Modi - Biopic https://t.co/D5Fo55RL53",neutral
5/5 #Review on #URITheSurgicalStrike by muellerr881 : What-a-great-movie - https://t.co/WoqPKw0V4n,neutral
On Mint page one today: Uri: The Surgical Strike helps Bollywood improve Q1 box office collections https://t.co/5OxkLLMxDI,neutral
How's the josh?! @vickykaushal09 @RonnieScrewvala https://t.co/ToUnEJSNfY,neutral
Uri: The Surgical Strike helps Bollywood improve Q1 box office collections https://t.co/fTK6ow4pU8,neutral
"Februari 2019

1
URI: THE SURGICAL STRIKE

2 
SERENITY
BERNIE THE DOLPHIN

5
ALITA: BATTLE ANGEL
THE KNIGHT OF SHAD https://t.co/yIpDena1FQ",positive
Do Read  Uri: The Surgical Strike helps Bollywood improve Q1 box office collections @vickykaushal09 @yamigautam https://t.co/yDiu9jClBY,neutral
"'Uri: The Surgical Strike' has made 245.36 crore in box office collections
Total box office collections in the Jan https://t.co/oESK3J2WgN",neutral
URI The Surgical Strike movie (2019),neutral
'Uri: The Surgical Strike' helps Bollywood improve Q1 box office collections - Livemint https://t.co/BNktAbWA3I https://t.co/0WWiZPZssY,neutral
"Vicky Kaushal-starrer 'Uri: The Surgical Strike', based on the 2016 surgical strikes carried out by the Indian Army https://t.co/dbzHtFOena",neutral
@PrimeVideoIN Uri:The Surgical Strike,neutral
Decoding The Uniform Badges In URI SurgicalStrike https://t.co/eQNvzP8CG8 https://t.co/KDPOmYCk9r,neutral
Incredible indeed. But not more than PMLN staging Dawn Leaks to undermine the Army only a week after India claimed https://t.co/C1BoSEbq3H,neutral
"Uri: The Surgical Strike: Vicky Kaushal &amp; Yami Gautam starrer becomes 10th highest grossing Hindi film

 https://t.co/a5nBiAurcm",neutral
"Up your JOSH and vanish your #MondayBlues with the HIGH-VOLTAGE Action Drama #Uri ONLY on the #ZEE5 App!
Watch now: https://t.co/QT3zBmq3Mc",neutral
"Up your JOSH and vanish your #MondayBlues with the HIGH-VOLTAGE Action Drama #Uri ONLY on the #ZEE5 App!
Watch now: https://t.co/baPZ4WI0BZ",neutral
"Up your JOSH and vanish your #MondayBlues with the HIGH-VOLTAGE Action Drama #Uri ONLY on the #ZEE5 App!
Watch now: https://t.co/3QwRA2YPpY",neutral
"@BDUTT Any feedback on {FOE to say TukdeTuke, Intolerance, lynching, Akhlakh, son of poor head master, Uri Surgical https://t.co/8rnC6H0cjt",neutral
@PrimeVideoIN Uri- the surgical strike,neutral
"@kavmayor Remembered how they released ""udta Punjab"" before punjab election.. 

N now ...""URI- SURGICAL STRIKE "" https://t.co/MMTJ8RdFrW",neutral
